size,nb_rooms,garden,orientation,price
215.77509595963974,1,0,Ouest,243048.71763695963
247.06497570247126,2,0,Nord,248116.08197923098
134.107329487398,2,1,Ouest,291773.1273113104
196.2421977044906,3,1,Ouest,328799.4581610933
154.3969060300466,1,1,Est,274069.21376084536
173.86718812106656,2,0,Nord,232381.20423472446
132.35594791273525,3,1,Ouest,311185.9834031507
142.91581300890715,1,0,Nord,203615.28235283
124.97211315280528,1,1,Ouest,268622.72512222116
127.68351567294063,1,1,Est,265581.0210372218
150.11428671804796,1,1,Ouest,276811.6387298537
158.7163944196355,1,0,Ouest,229302.98684009956
143.47458292133257,1,0,Sud,243789.66179041963
6.977077628102478,2,0,Nord,93445.74595676195
154.46374211744515,1,0,Nord,207088.56406457283
124.36626182271797,1,0,Est,214405.77963857682
125.93030715892458,1,0,Est,214963.71779873286
167.6866684214953,1,0,Sud,250761.9332480437
165.43312872075114,2,0,Nord,230156.71197484725
119.47996265418755,3,0,Est,252616.75543343497
104.72671903287616,3,1,Est,296738.59392151126
176.81018028284424,3,0,Sud,293132.24602685566
196.3222481802289,1,1,Nord,267817.71764440567
202.0680937625982,1,0,Ouest,240109.36120222602
154.83090635024743,1,1,Ouest,278194.71685723535
240.19218837355768,1,0,Nord,226851.73350179297
226.78992696744086,2,1,Est,311279.0724075846
178.7715739463084,1,0,Ouest,234625.91551090864
78.82870717568852,2,1,Ouest,268094.7430464006
182.23390423700945,1,0,Sud,254484.35758609336
161.77665401574447,1,1,Sud,299157.0568195109
231.03179349433302,3,1,Sud,355109.3481440409
159.04882254334677,1,0,Est,225396.55093126782
154.33760414780926,3,1,Nord,297052.0377817013
214.34069356039342,3,1,Sud,351749.96278181166
230.50234143232922,3,0,Est,282006.5494444151
127.29644219745849,1,1,Est,265445.4593403976
147.92681052732104,2,0,Est,242155.47413376695
117.64397575112972,1,0,Est,211925.72437437854
164.6162808809288,1,1,Est,276935.30982276355
124.24864512087976,1,0,Est,214363.54151287352
226.5151504473059,2,0,Nord,244224.75741958822
241.828836351247,2,1,Ouest,318156.05680977704
82.07155258327667,2,1,Sud,288886.6042081305
241.90917822141944,2,0,Nord,247170.94295861555
172.8572951987789,1,1,Est,279120.5669080049
204.96797578011206,1,1,Sud,309747.431469703
161.87990560719768,3,1,Nord,299185.591922728
87.10295714514973,2,1,Nord,251532.77441711185
174.7391732437236,2,1,Nord,282605.0416532629
180.34328846035774,1,1,Nord,264017.633532531
57.49266157179672,2,0,Sud,223100.55864184012
87.2613457103769,2,1,Sud,291613.601287811
111.86668599292891,3,1,Sud,322679.330851782
102.42861223527666,2,1,Nord,258749.6737041632
230.947476668051,2,0,Est,262092.99285634398
211.64391664192541,2,1,Sud,331182.85562624136
57.55712517358788,1,1,Ouest,234150.1249410116
93.76408176537853,2,0,Nord,204812.5703910625
61.01436090505116,2,0,Est,202731.4693575984
